User: hacker_0 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt, ML Threat Detected | ML Score: 1.0
User: bob_1 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: john_2 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: alice_3 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: hacker_4 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt, ML Threat Detected | ML Score: 1.0
User: bob_5 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: john_6 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: alice_7 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: hacker_8 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt, ML Threat Detected | ML Score: 1.0
User: bob_9 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: john_10 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: alice_11 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: hacker_12 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt, ML Threat Detected | ML Score: 1.0
User: bob_13 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: john_14 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: alice_15 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: hacker_16 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt, ML Threat Detected | ML Score: 1.0
User: bob_17 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: john_18 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
User: alice_19 | Threats: Flooding Detected, Rate Limit Abuse, Brute Force Attempt | ML Score: 0.0
