username,logins,fails,msgs,uploads,rate_limits
hacker_0,316,315,620,636,616
bob_1,284,298,611,649,659
john_2,334,301,653,589,624
alice_3,317,346,631,602,599
hacker_4,316,315,620,636,616
bob_5,284,298,611,649,659
john_6,334,301,653,589,624
alice_7,317,346,631,602,599
hacker_8,316,315,620,636,616
bob_9,284,298,611,649,659
john_10,334,301,653,589,624
alice_11,317,346,631,602,599
hacker_12,316,315,620,636,616
bob_13,284,298,611,649,659
john_14,334,301,653,589,624
alice_15,317,346,631,602,599
hacker_16,316,315,620,636,616
bob_17,284,298,611,649,659
john_18,334,301,653,589,624
alice_19,317,346,631,602,599
hacker_20,316,315,620,636,616
bob_21,284,298,611,649,659
john_22,334,301,653,589,624
alice_23,317,346,631,602,599
hacker_24,316,315,620,636,616
bob_25,284,298,611,649,659
john_26,334,301,653,589,624
alice_27,317,346,631,602,599
hacker_28,316,315,620,636,616
bob_29,284,298,611,649,659
john_30,334,301,653,589,624
alice_31,317,346,631,602,599
hacker_32,316,315,620,636,616
bob_33,284,298,611,649,659
john_34,334,301,653,589,624
alice_35,317,346,631,602,599
hacker_36,316,315,620,636,616
bob_37,284,298,611,649,659
john_38,334,301,653,589,624
alice_39,317,346,631,602,599
hacker_40,316,315,620,636,616
bob_41,284,298,611,649,659
john_42,334,301,653,589,624
alice_43,317,346,631,602,599
hacker_44,316,315,620,636,616
bob_45,284,298,611,649,659
john_46,334,301,653,589,624
alice_47,317,346,631,602,599
hacker_48,316,315,620,636,616
bob_49,284,298,611,649,659
john_50,334,301,653,589,624
alice_51,317,346,631,602,599
hacker_52,316,315,620,636,616
bob_53,284,298,611,649,659
john_54,334,301,653,589,624
alice_55,317,346,631,602,599
hacker_56,316,315,620,636,616
bob_57,284,298,611,649,659
john_58,334,301,653,589,624
alice_59,317,346,631,602,599
hacker_60,316,315,620,636,616
bob_61,284,298,611,649,659
john_62,334,301,653,589,624
alice_63,317,346,631,602,599
hacker_64,316,315,620,636,616
bob_65,284,298,611,649,659
john_66,334,301,653,589,624
alice_67,317,346,631,602,599
hacker_68,316,315,620,636,616
bob_69,284,298,611,649,659
john_70,334,301,653,589,624
alice_71,317,346,631,602,599
hacker_72,316,315,620,636,616
bob_73,284,298,611,649,659
john_74,334,301,653,589,624
alice_75,317,346,631,602,599
hacker_76,316,315,620,636,616
bob_77,284,298,611,649,659
john_78,334,301,653,589,624
alice_79,317,346,631,602,599
hacker_80,316,315,620,636,616
bob_81,284,298,611,649,659
john_82,334,301,653,589,624
alice_83,317,346,631,602,599
hacker_84,316,315,620,636,616
bob_85,284,298,611,649,659
john_86,334,301,653,589,624
alice_87,317,346,631,602,599
hacker_88,316,315,620,636,616
bob_89,284,298,611,649,659
john_90,334,301,653,589,624
alice_91,317,346,631,602,599
hacker_92,316,315,620,636,616
bob_93,284,298,611,649,659
john_94,334,301,653,589,624
alice_95,317,346,631,602,599
hacker_96,316,315,620,636,616
bob_97,284,298,611,649,659
john_98,334,301,653,589,624
alice_99,317,346,631,602,599
hacker_100,316,315,620,636,616
bob_101,284,298,611,649,659
john_102,334,301,653,589,624
alice_103,317,346,631,602,599
hacker_104,316,315,620,636,616
bob_105,284,298,611,649,659
john_106,334,301,653,589,624
alice_107,317,346,631,602,599
hacker_108,316,315,620,636,616
bob_109,284,298,611,649,659
john_110,334,301,653,589,624
alice_111,317,346,631,602,599
hacker_112,316,315,620,636,616
bob_113,284,298,611,649,659
john_114,334,301,653,589,624
alice_115,317,346,631,602,599
hacker_116,316,315,620,636,616
bob_117,284,298,611,649,659
john_118,334,301,653,589,624
alice_119,317,346,631,602,599
hacker_120,316,315,620,636,616
bob_121,284,298,611,649,659
john_122,334,301,653,589,624
alice_123,317,346,631,602,599
hacker_124,316,315,620,636,616
bob_125,284,298,611,649,659
john_126,334,301,653,589,624
alice_127,317,346,631,602,599
hacker_128,316,315,620,636,616
bob_129,284,298,611,649,659
john_130,334,301,653,589,624
alice_131,317,346,631,602,599
hacker_132,316,315,620,636,616
